英単語,訳,発音記号（IPA）,解説
depositor,寄託者,dəˈpɑzɪtər,(銀行の)預金者;供託者
depreciate,価値・価格が下がる,dɪˈpriʃiˌeɪt,"…‘の'価値(価格)を下げる / …‘を'見くびる,けなす / 価値(価格)が下がる"
depreciation,価値の低下；減価償却；軽視,dɪˌpriʃiˈeɪʃən,"(消耗・年月による価値・価格の)下落,低落 / 減価見積り[額];減価償却"
deprive,奪う,dɪˈpraɪv,(所有しているものを)〈人〉‘から'『奪う』《+『名』〈人〉+『of』+『名』》
deputy,代理人；代行；代議士,ˈdɛpjəti,"『代理人』,代表者 / (フランスなどの)代議士 / 《米》郡保安官代理"
deregulation,規制緩和,diˌrɛgjəˈleɪʃən,
derivative,派生物,dəˈrɪvətɪv,"派生した,由来した;独創性のない,借り物めいた / 派生語 / 派生した物"
designate,指名,ˈdɛzɪgnɪt,"…‘を'『指摘する』,示す,明示する / (…と)〈人・物〉‘を'呼ぶ,称する《+『名』[+『as』]+『名』》 / (任務・官職・目的などに)〈人〉‘を'指名する,任命する / (まだ就任していないが,ある役職に)任命(指名)された"
desirable,望ましい,dɪˈzaɪrəbəl,"『望ましい』,好ましい / (特に)性的欲望を起こさせるような,魅力たっぷりの"
desktop,デスクトップ；机の表面,ˈdɛskˌtɑp,
desperate,"絶望した；自暴自棄の,やけくその；〖be～〗欲しくてたまらない；深刻な；必死の",ˈdɛsprɪt,"『自暴自棄の』,『やけくその』 / 《補語にのみ用いて》切望している / (回復・改善などの)見込みがない,ほとんど望みがない / がまんできない,耐えられない / 死にもの狂いの,一か八かの"
destination,"目的地, 到達地, 行き先；最終目標",ˌdɛstəˈneɪʃən,"(旅行・航海などの)『目的地』,行き先;(物の)『送付先』,到着地"
detection,検出,dɪˈtɛkʃən,"発見,探知,発覚 / (電波の)検波"
deter,思いとどまらせる；躊躇わせる,dɪˈtɜr,〈恐怖・不安などが〉〈人〉‘を'ちゅうちょさせる;(…することを)〈人〉‘に'思い留まらせる《+『名』+『from』 do『ing』》
deteriorate,悪化する；悪くなる；低下する,dɪˈtɪriəˌreɪt,"…‘を'悪化させる;…‘の'品質などを低下させる / 〈人格・品質・価値などが〉悪化する,低下する"
determinant,"【名】決定要因；行列式；【形】決定的な, 決定力のある.",dɪˈtɜrmənənt,決定要素 / 決定力のある
devaluation,平価切下げ,dɪˌvæljuˈeɪʃən,"(貨幣の)平価切り下げ,デノミ"
devastate,打ちのめされる；挫折させられる；荒廃させられる,ˈdɛvəˌsteɪt,"…‘を'荒廃させる,荒らす / (突然の知らせなどで(〈人など〉‘を'打ちひしぎ,混乱させる"
developer,宅地開発業者；開発者,dɪˈvɛləpər,"〈C〉開発者,啓発者;宅地開発(造成)業者 / 〈U〉(写真の)現像液"
deviation,偏差,ˌdiviˈeɪʃən,"〈C〉〈U〉(…から)外れること,(…からの)脱線,逸脱《+『from』+『名』》
〈C〉偏差;磁針の自差"
devise,工夫,dɪˈvaɪz,"…‘を'『工夫する』,考案する / (遺言で)〈財産〉‘を'残す"
diagram,図；図式；運行計画表；図で示す,ˈdaɪəˌgræm,"説明図,略図;図表,予定表,グラフ;図解 / …‘を'図解する,図示する,‘の'図表を作る"
diamond,ダイヤモンド,ˈdaɪmənd,"『ダイヤモンド』,ダイヤ,金剛石 / ガラス切り / 菱(ひし)形[のもの] / (カードの)ダイヤの札 / (野球の)内野;野球場 / ダイヤモンド製の;ダイヤモンド入りの / ダイヤモンド形の / ダイヤモンド記念の(結婚記念日などが75回目,または60回目)"
diary,日記,ˈdaɪəri,"『日記』,日記帳,日誌"
dictate,書き取らせる；厳しく命令する；影響する,ˈdɪkˌteɪt,"(人に)〈文章など〉‘を'『書き取らせる』,口述する《+『名』+『to』+『名』》 / …‘を'命じる,命令する,指図する:《『dictate』+『名』+『to』+『名』…を…に命じる》 / (人に)書き取らせる,口述する《+『to』+『名』》 / (…に)命令する,指図する《+『to』+『名』》 / (権威ある)命令;(良心などの)命じるところ"
dictator,独裁者,dɪkˈteɪtər,"独裁者,専制者 / 口述者"
dictatorship,独裁,dɪkˈteɪtərˌʃɪp,〈U〉独裁者の職(任期) / 〈U〉独裁政治 / 〈C〉独裁国
differential,微分,ˌdɪfəˈrɛnʃəl,"『差別的な』 / 微分の / 差動の / 〈C〉差別額,運賃差 / 〈U〉微分 / 〈C〉〈U〉(また『differential gear』)差動歯車,差動装置"
differentiate,分化,ˌdɪfəˈrɛnʃiˌeɪt,"(…から)…‘を'『区別する』,識別する《+『名』+『from』+『名』》 / …‘を'微分する / (…を)区別をつける,(…を)識別する《+『between』+『名』》 / 別のものとなる"
differentiation,"区別,識別；差別；分化",dɪfəˌrɛnʃiˈeɪʃən,
digit,桁,ˈdɪʤət,(手足の)指 / アラビア数字(0から9までの一つ;0を除くこともある)
dilemma,ジレンマ；板挟み,dɪˈlɛmə,"『板ばさみ』,抜きさしならない羽目,窮地 / (論理学で)両刀論法"
diligence,勤勉,ˈdɪləʤəns,"『勤勉』,不断の努力"
dilute,希薄,daɪˈlut,(…で)〈液体〉‘を'薄める《+『名』+『with』+『名』》 / 〈力・効力など〉‘を'弱める / (液体などが)薄い
diminish,減る,dɪˈmɪnɪʃ,"…‘を'『小さくする』,『減らす』,少なくする / 〈音程〉‘を'半音狭くする / 『小さくなる』,減少する"
dioxide,二酸化物,daɪˈɑkˌsaɪd,二酸化物
dip,浸漬,dɪp,"(水などに)…‘を'『ちょっと浸す』,さっとつける《+『名』+『in』(『into』)+『名』》 / (中の物を取り出すために)(…に)〈手・バケツ・ひしゃくなど〉‘を'入れる《+『名』+『into』+『名』》 / …‘を'浸して染める / (…から)…‘を'すくい出す,くみ出す,すくい上げる《+『名』+『from』(『out of』)+『名』》 / 〈旗など〉‘を'ちょっと下げてまたすぐ上げる / (…に)『ちょっとつかる』,さっと潜る《+『into』+『名』》 / 下がる,沈む / 〈土地・道路などが〉下に傾く / (液体や容器に)手(さじなど)を突っ込んで取り出す《+『into』+『名』》 / (ある問題を)ちょっと調べる,のぞく;(本などを)拾い読みする《+『into』+『名』》 / 〈C〉《話》ちょっと浸す(浸る)こと,一溶び / 〈C〉(スープなどの)一すくい;一くみ / 〈U〉(クラッカーを浸す)味付けソース;(染色などの)浸液;(羊を洗う)消毒液 / 〈C〉(土地・道路の)傾斜,下り坂;沈下,くぼみ / 〈C〉(値段の)下落"
diplomacy,外交,dɪˈploʊməsi,"外交 / 外交的手腕,人扱いの手腕,駆け引き"
diplomat,外交官,ˈdɪpləˌmæt,外交官;外交家 / 駆け引きのじょうずな人
diplomatic,外交的,ˌdɪpləˈmætɪk,"《名詞の前にのみ用いて》『外交の』,外交上の / 外交的手腕のある,駆け引きのうまい / 古文書学の"
directive,指令,dəˈrɛktɪv,"指令,命令,訓令 / 指導的な,指示的な"
directory,人名簿；住所録；ディレクトリ,dəˈrɛktəri,"人名薄,住所録 / (ビルの)居住者表示板"
disability,身体障害,ˌdɪsəˈbɪlɪti,"〈U〉無力,無能 / 〈C〉不具,欠陥 / 〈U〉(法律で)無能力,無資格"
disable,障害を負わせる；作動しないようにする,dɪˈseɪbəl,"《しばしば受動態で》…‘を'役に立たなくする,無力にする,動けなくする / 《文》(…から)…‘を'失格させる,無能力にする《+『名』+『from』+『名』(do『ing』)》"
disadvantage,不利益,ˌdɪsədˈvæntɪʤ,"〈C〉『不利な立場』(状態) / 〈U〉『不利』,不利益;(名声・信用などの)損傷,損失"
disagreement,不一致,dɪsəˈgrimənt,"〈U〉(…間の)不一致,不調和《+between+『名』》 / 〈C〉(…の間の)意見の相違;争い,不和《+between+『名』》"
disastrous,悲惨,dɪˈzæstrəs,"『災害の』,災害によって引き起こされた;悲惨な"
discharge,流出,dɪsˈʧɑrʤ,"〈船〉‘の'『荷を降ろす』;(積荷・客を)〈船〉‘から'降ろす《+『名』〈船〉+『of』+『名』〈荷〉》;(船から)〈積荷・客〉‘を'降ろす《+『名』〈荷〉+『from』+『名』〈船〉》 / (…に)…‘を'『発射する』《+『名』+『at』(『into』)+『名』》 / 〈煙・液体〉‘を'『出す』,排出する / (…から)〈人〉‘を'解放する,‘に'行くことを許す《+『名』〈人〉+『from』+『名』》 / (仕事から)〈人〉‘を'解雇する,くびにする《+『名』〈人〉+『from』+『名』》 / 〈職務・義務・約束など〉‘を'果たす,遂行する(fulfill) / 〈借金〉‘を'返済する,支払う(pay) / 〈電池など〉‘から'放電する / 〈船が〉『荷を降ろす』,荷揚げする / 〈水などが〉流れ出る,注ぐ,流出する / 〈鉄砲などが〉発射される / 放電する / 〈U〉『荷降ろし』,荷揚げ / 〈C〉発砲,発射 / 〈C〉『放出』,流出,排出;排出物 / 〈U〉解任,退出,解雇;解放,釈放 / 〈U〉(職務・義務などの)『遂行』,履行 / 〈U〉(負債の)『返済』,弁済 / 〈C〉〈U〉(電気の)放電"
disclose,開示する；明らかにする,dɪˈskloʊz,"〈隠れたもの〉‘を'あらわにする,見せる(uncover) / 〈秘密など〉‘を'打ち明ける,明らかにする(reveal)"
disclosure,開示,dɪˈskloʊʒər,"〈U〉露見,暴露 / 〈C〉打ち明け話,暴露されたもの"
discontinue,中止する；やめる,dɪskənˈtɪnju,"〈続けていること〉‘を'やめる,停止する,中止する / 中止になる"
discourage,落胆させる,dɪˈskərɪʤ,"〈人〉‘を'『落胆させる』,がっかりさせる / (…することを)〈人〉‘に'思いとどまらせる《+『名』+『from』 do『ing』》 / (反対の意を表し,また困難を予想して)〈事〉‘を'させないようにする,思いとどまらせる"
discrete,離散,dɪˈskrit,"別個の,個々の"
discretion,自由裁量；思慮分別,dɪˈskrɛʃən,"『分別』,慎重さ(prudence) / (行動・選択などの)判断の自由;自由裁量"
discretionary,自由裁量の,dɪˈskrɛʃəˌnɛri,"任意の,自由裁量の"
discriminate,差別する,dɪˈskrɪmənɪt,"(…と)…‘を'『見分ける』,識別する《+『名』+『from』+『名』》 / (…間の)『差異を見分ける』,識別する《+『between』+『名』》 / (…を)分け隔てする,差別待遇する《+『against』+『名』》"
discrimination,差別；優遇；えこひいき；識別眼；鑑識眼,dɪˌskrɪməˈneɪʃən,"区別(識別)すること / (…に対する)差別待遇《+『against』+『名』》 / 識別力,鋭く見分ける力"
disguise,変装,dɪsˈgaɪz,"(…に)〈人,特に自分〉‘を'『変装させる』《+『名』+『as』+『名』》 / (…だと)…‘を'『見せかける』,偽る《+『名』+『as』+『名』》 / 〈U〉『変装』,仮装;見せかけること / 〈C〉〈U〉変装に用いる物;偽りの態度,口実"
dislike,嫌い,dɪˈslaɪk,"…‘を'『嫌う』(進行形にできない) / (…を)『嫌いなこと』,いや気,嫌悪《+『for』(『of』)+『名』(do『ing』)》"
dismal,"【形】陰気な,憂鬱な,うっとうしい；もの寂しい；惨めな【名】憂鬱",ˈdɪzməl,"『陰うつな』,気のめいるような(gloomy);わびしい,ものさびしい(dreary) / 見る(聞く)に耐えない,へたな"
dismantle,【動/他】…の装備（設備）を撤巨する；...から取り除く；を取り壊す；を解体する,dɪˈsmæntəl,"【動/他】…‘の'装備(設備)を撤巨する;(装備を)…‘から'取り除く《+『名』+『of』+『名』》 / …‘を'取り壊す,解体する"
dismissal,解任,dɪˈsmɪsəl,"解散,退去 / (…からの)解雇,免職,放免《+『from』+『名』》 / (考えなどの)放棄 / 却下,棄却"
dispatch,ディスパッチ；公文書；派遣する；発送する,dɪˈspæʧ,"(…へ)〈電報・手紙など〉‘を'『送る』,〈使者・軍隊など〉‘を'急送する,特派する《+『名』+『to』+『名』》 / 〈仕事・食事など〉‘を'手早く済ませる / 《遠回しに》…‘を'殺す(kill) / 〈U〉『急送』;急派,特派 / 〈U〉(仕事などの)敏速な処理,手早さ / 〈C〉ニュース特報,至急報;急送公文書"
displace,変位,dɪˈspleɪs,"…‘に'とって代わる / (…から)〈人〉‘を'強制的に退去させる(移動させる,やめさせる)《+『名』+『from』+『名』》 / 〈船舶が〉…‘の'排水量を持つ"
disposable,使い捨て,dɪˈspoʊzəbəl,使い捨てにできる / (税金などを差し引かれた後)自由に使える
disposal,処分；配置；処分権,dɪˈspoʊzəl,"配置,配列 / (事件・業務などの)『処置』,処理;処分 / (物の)譲渡;売却"
